country,designation,points,price,province,region_1,region_2,variety,winery
US,Catie's Corner,88,32,California,Russian River Valley,Sonoma,Viognier,Foundry
Germany,Schwarzer Adler,88,25,Baden,,,Rosé,Franz Keller
Italy,San Giovanni,88,,Piedmont,Barolo,,Nebbiolo,Gianfranco Alessandria
France,Les Baronnes,88,23,Loire Valley,Sancerre,,Sauvignon Blanc,Henri Bourgeois
US,,88,15,Oregon,Umpqua Valley,Southern Oregon,Müller-Thurgau,Henry Estate
Portugal,Mariana,88,15,Alentejano,,,Portuguese Red,Herdade do Rocim
France,Brut Rosé,88,65,Champagne,Champagne,,Champagne Blend,Jean Milan
US,,88,32,California,Sierra Foothills,Sierra Foothills,Sangiovese,La Folia Winery
France,Rosé Royal Brut,88,38,Champagne,Champagne,,Champagne Blend,Lété-Vautrain
US,Wulff Vineyards,88,80,California,Atlas Peak,Napa,Cabernet Sauvignon,Lobo
France,Vignes du Domaine,88,35,Burgundy,Mercurey,,Chardonnay,Louis Max
US,Five Blocks Wren and Temperance Hill,88,25,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lumos
Italy,,88,22,Piedmont,Barbera d'Alba,,Barbera,Manzone
US,,88,25,California,Oak Knoll District,Napa,Chardonnay,Materra Cunat Family Vineyards
Germany,Erdener Treppchen Spätlese,88,19,Mosel,,,Riesling,Max Ferd. Richter
US,Bradley Vineyard,88,23,Oregon,Elkton Oregon,Southern Oregon,Pinot Noir,Monte Ferro
US,Estate Grown,88,34,California,Dry Creek Valley,Sonoma,Grenache,Mounts
US,,88,9,California,Paso Robles,Central Coast,Meritage,Outlander
US,Reserve,88,50,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Panther Creek
US,Bilancio,88,40,California,Monterey,Central Coast,Syrah-Cabernet Sauvignon,Pianetta
Portugal,,88,21,Vinho Verde,,,Alvarinho,Quinta de Soalheiro
Portugal,,88,24,Lisboa,,,Antão Vaz,Quinta do Pinto
US,Gravel Road,88,30,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Roco
US,Rosé of,88,25,California,Sonoma County,Sonoma,Pinot Noir,Rodney Strong
US,,88,35,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Trinity Vineyards
Italy,Croere,88,35,Piedmont,Barbera d'Alba Superiore,,Barbera,Vite Colte
US,,88,22,California,Carneros,Napa-Sonoma,Pinot Noir,Waterstone
Germany,Hummerthal Niersteiner Paterberg Trocken,88,24,Rheinhessen,,,Riesling,Weingut Georg Albrecht Schneider
US,,88,,California,Arroyo Seco,Central Coast,Chardonnay,White Hart Wine
France,Herrenweg de Turckheim,94,55,Alsace,Alsace,,Gewürztraminer,Domaine Zind-Humbrecht
US,Gestalt Block,94,55,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Brittan Vineyards
US,Winderlea Legacy,94,75,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
New Zealand,The Patriarch Premium Red Wine,93,60,Hawke's Bay,,,Bordeaux-style Red Blend,Babich
New Zealand,Maté's Vineyard,93,51,Kumeu,,,Chardonnay,Kumeu River
New Zealand,Hunting Hill,93,49,Kumeu,,,Chardonnay,Kumeu River
US,Les Galets Single Vineyard,93,60,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Laetitia
France,Wiebelsberg Grand Cru,93,54,Alsace,Alsace,,Pinot Gris,Domaine Gresser
France,Seppi Landmann Zinnkoepflé Grand Cru,93,78,Alsace,Alsace,,Pinot Gris,Domaine Rieflé-Landmann
France,Goldert Grand Cru,93,48,Alsace,Alsace,,Gewürztraminer,Domaine Zinck
France,Rotenberg Wintzenheim,93,60,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
France,Steinert Grand Cru,93,38,Alsace,Alsace,,Pinot Gris,Rieflé
Germany,Kiedrich Gräfenberg Spätlese,93,92,Rheingau,,,Riesling,Robert Weil
Israel,Legend,93,40,Judean Hills,,,Red Blend,Shiloh Winery
Italy,Contrada G,93,57,Sicily & Sardinia,Terre Siciliane,,Nerello Mascalese,Passopisciaro
US,Lorna Marie,93,70,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
Portugal,Rapariga da Quinta Reserva,93,26,Alentejano,,,Portuguese Red,Luis Duarte
US,Transitus,93,34,California,Rutherford,Napa,Sauvignon Blanc,Mark David
Argentina,Nazarenas Vineyard,93,40,Mendoza Province,Mendoza,,Malbec,Melipal
Germany,Trocken,93,,Rheinhessen,,,Riesling,Weingut Keller
US,Winderlea Vineyard,93,60,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
Spain,Christina,93,90,Northern Spain,Ribera del Duero,,Tempranillo,Astrales
Italy,Pietramarina Bianco Superiore,93,75,Sicily & Sardinia,Etna,,Carricante,Benanti
France,Zotzenberg Grand Cru,93,42,Alsace,Alsace,,Pinot Gris,Boeckel
US,Vista Verde Vineyard,93,58,California,San Benito County,Central Coast,Pinot Noir,Williams Selyem
Germany,Berncasteler Doctor GG,93,95,Mosel,,,Riesling,Dr. H. Thanisch (Erben Thanisch)
Argentina,Gran Enemigo,93,90,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,El Enemigo
Germany,Grünlock Spätlese,93,55,Rheingau,,,Riesling,Schloss Johannisberger
Germany,Brauneberger Juffer Auslese,93,46,Mosel,,,Rieslaner,Fritz Haag
US,Timber Crest Vineyard,93,32,California,Dry Creek Valley,Sonoma,Zinfandel,Kokomo
US,Rava Blackjack Vineyard,88,25,California,Monterey,Central Coast,Grüner Veltliner,Darcie Kent Vineyards
France,,88,20,France Other,Corse,,Rosé,Domaine Petroni
Moldova,Cuvée Rouge,88,24,Moldova,,,Red Blend,Et Cetera
Australia,Breathing Space,88,,Australia Other,Australia,,Rosé,Evans & Tate
US,,88,65,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Alexander-Smith
Slovenia,,88,27,Goriska Brda,,,Cabernet Sauvignon,Bagueri
US,,88,55,California,Napa Valley,Napa,Cabernet Sauvignon,Bell
Greece,Kechribari,88,11,Retsina,,,Roditis,Stelios Kechris
Italy,Calderara Sottana Bianco,88,36,Sicily & Sardinia,Etna,,Carricante,Tenuta delle Terre Nere
Italy,Erse Bianco,88,25,Sicily & Sardinia,Etna,,White Blend,Tenuta di Fessina
US,L'Autre,88,30,California,Sierra Foothills,Sierra Foothills,Rhône-style Red Blend,Terre Rouge
Chile,Aliwen Reserva,88,14,Chile,,,Sauvignon Blanc,Undurraga
US,Trouble,88,30,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,A Blooming Hill Vineyard
France,Sécret de la Famille,88,23,Burgundy,Bourgogne,,Chardonnay,Albert Bichot
US,Reserve Estate Bottled,88,25,California,El Dorado,Sierra Foothills,Zinfandel,Lava Cap
US,Reserve Estate Bottled,88,20,California,El Dorado,Sierra Foothills,Chardonnay,Lava Cap
France,,88,12,Languedoc-Roussillon,Côtes Catalanes,,Rosé,Penya
US,Equinox,88,30,Oregon,Umpqua Valley,Southern Oregon,Red Blend,Melrose
Germany,Arsvitis,88,15,Mosel,,,Riesling,Moselland
Australia,Promised Land Unwooded,88,13,South Australia,South Australia,,Chardonnay,Wakefield Estate
US,Estate Bottled,87,29,California,Mendocino Ridge,Mendocino/Lake Counties,Merlot,Greenwood Ridge
US,Hybrid,87,10,California,Lodi,Central Valley,Cabernet Sauvignon,Peltier
Australia,,87,17,South Australia,South Australia,,Chardonnay,Wakefield Estate
US,Liage,87,25,California,Monterey County,Central Coast,Sauvignon Blanc,Byington
Spain,,87,6,Northern Spain,Rueda,,Verdejo,4R4U
US,Alisos Vineyard,87,37,California,Santa Barbara County,Central Coast,Syrah,a-non-ah-mus
Chile,Reserva,87,13,Apalta,,,Carmenère,Apaltagua
Slovenia,Hand Harvested Estate Bottled,87,7,Primorska,,,Chardonnay,Avia
Spain,Crianza,87,16,Northern Spain,Rioja,,Tempranillo,Ramirez de la Piscina
US,,87,15,California,Monterey County,Central Coast,Rosé,Chloe
Austria,Trie Rot,90,14,Burgenland,,,Red Blend,Gunter Triebaumer
Austria,,90,15,Burgenland,,,Furmint,Gunter Triebaumer
Austria,Per Due,90,15,Kremstal,,,Grüner Veltliner,Hermann Moser
US,Limited Release,90,25,New York,Finger Lakes,Finger Lakes,Chardonnay,Hosmer
France,,90,16,Southwest France,Fronton,,Red Blend,Château Coutinel
France,,90,25,Provence,Côtes de Provence,,Rosé,Château les Valentines
France,,90,18,Provence,Coteaux d'Aix-en-Provence,,Rosé,Château Paradis
France,Premium,90,23,Provence,Côtes de Provence,,Rosé,Château Roubine
France,Instant B,90,13,Provence,Côtes de Provence,,Rosé,Château Sainte-Béatrice
France,,90,17,Southwest France,Pacherenc du Vic Bilh,,White Blend,Château Viella
France,,90,,Southwest France,Madiran,,Tannat,Clos Fardet
US,,90,42,California,Russian River Valley,Sonoma,Grenache,Crux
Spain,Viña Real,90,18,Northern Spain,Rioja,,Viura,CVNE
US,Dry,90,18,New York,Finger Lakes,Finger Lakes,Rosé,Damiani
Austria,Pure,90,15,Burgenland,,,St. Laurent,Artisan Wines DI Franz Scheider
US,Leveroni Vineyard,90,32,California,Carneros,Napa-Sonoma,Chardonnay,August Briggs
US,,90,28,California,Central Coast,,Cabernet Sauvignon,Brander
US,Arpad's Selection,90,38,California,Sonoma Valley,Sonoma,Zinfandel,Buena Vista
France,Château la Vieille Eglise,90,15,Southwest France,Côtes du Marmandais,,Bordeaux-style Red Blend,Cave du Marmandais
France,Château de Sabazan,90,40,Southwest France,Saint-Mont,,Red Blend,Producteurs Plaimont
France,Le Faîte,90,46,Southwest France,Saint-Mont,,White Blend,Producteurs Plaimont
US,Regan Vineyards,90,35,California,Santa Cruz Mountains,Central Coast,Merlot,Rexford
US,,90,42,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
Austria,,90,14,Kamptal,,,Riesling,Schloss Gobelsburg
US,,90,22,Oregon,Southern Oregon,Southern Oregon,Viognier,Season
Austria,Badener Berg,90,17,Niederösterreich,,,Grüner Veltliner,Stadlmann
Austria,Badener Berg,90,19,Niederösterreich,,,Riesling,Stadlmann
Austria,Goettweiger Berg,90,25,Niederösterreich,,,Pinot Noir,Stift Göttweig
US,Estate Grown Seven Hills Vineyard,90,37,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,L'Ecole No. 41
Austria,,90,25,Wagram,,,Roter Veltliner,Leth
Australia,,92,24,New South Wales,Hunter Valley,,Sémillon,Silkman
Spain,Regina Expresion,92,24,Galicia,Ribeira Sacra,,Mencía,Regina Viarum
Italy,Vecchie Vigne,92,70,Tuscany,Brunello di Montalcino,,Sangiovese,Siro Pacenti
US,Stone Corral Vineyard,92,58,California,Edna Valley,Central Coast,Pinot Noir,Talley
US,Equinox Vineyard,92,18,Oregon,Willamette Valley,Willamette Valley,Riesling,Territorial
US,Mazzoni-Live Oak,92,34,California,Contra Costa County,Central Coast,Zinfandel,Three
US,,92,80,California,Napa Valley,Napa,Cabernet Sauvignon,Three Fat Guys
US,River Road Ranch,92,23,California,Russian River Valley,Sonoma,Sauvignon Blanc,Trione
US,Burt Williams' Morning Dew Ranch,92,82,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Williams Selyem
US,Eastside Road Neighbors,92,55,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
US,Hans Clone Pommard,92,50,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Vidon Vineyard
Spain,Brunus,92,31,Catalonia,Montsant,,Red Blend,Portal del Montsant
Australia,Lucindale,92,,South Australia,Limestone Coast,,Cabernet Sauvignon,Di Giorgio Family Wines
US,Holy Smoke Vineyard,92,125,California,Oakville,Napa,Cabernet Sauvignon,Flora Springs
Spain,Single Vineyard Estate Bottled,92,50,Central Spain,Dominio de Valdepusa,,Graciano,Marques de Griñon
Australia,Carnival of Love,92,75,South Australia,McLaren Vale,,Shiraz,Mollydooker
US,Reserve,92,135,California,Diamond Mountain District,Napa,Bordeaux-style Red Blend,Von Strasser
Italy,Messorio,92,300,Tuscany,Toscana,,Merlot,Le Macchiole
France,,92,35,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Bellevue de Tayac
France,,92,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Carbonnieux
France,,92,29,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château La Fleur Peyrabon
France,,92,,Bordeaux,Listrac-Médoc,,Bordeaux-style Red Blend,Château Lalande-Borie
France,,92,27,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Larose Perganson
France,Secret de notre Terroir Chard'MMXV,92,28,Alsace,Alsace,,Chardonnay,Domaine Charles Baur
France,Fronholz,92,59,Alsace,Alsace,,Pinot Noir,Domaine Ostertag
France,Les Vieilles Vignes,92,27,Alsace,Alsace,,Sylvaner,Domaine Ostertag
France,,92,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Malescasse
France,,92,33,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Pontac Monplaisir
France,Gentil de Katz,92,18,Alsace,Alsace,,Alsace white blend,Clément Klur
US,Azaya Ranch Vineyard,92,58,California,Marin County,North Coast,Pinot Noir,Dutton-Goldfield
US,Estate Reserve,84,13,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Dragonfly Creek
US,Out of Sight,84,13,Arizona,Arizona,,White Blend,Fiddlebender
US,Le Renard Rouge,84,32,Virginia,Virginia,,Bordeaux-style Red Blend,Fox Meadow
France,Vieilles Vignes,84,,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Francis Blanchet
US,Celebrate,84,22,Oregon,Willamette Valley,,Müller-Thurgau,Kramer
France,,84,12,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Haut-Gelineau
Argentina,,84,8,Mendoza Province,Mendoza,,Chardonnay,Region 1
US,,84,10,California,California,California Other,Pinot Noir,Twin Arches
Portugal,Raza,84,10,Vinho Verde,,,Portuguese White,Quinta da Raza
US,Arizona Stronghold Vineyard,84,35,Arizona,Cochise County,,Chardonnay,Page Springs
US,Colibri Vineyard,84,28,Arizona,Cochise County,,Grenache,Page Springs
US,Evolution,84,13,Arizona,Arizona,,White Blend,Fiddlebender
Argentina,Callejon del Crimen Estate,84,10,Mendoza Province,Uco Valley,,Torrontés,Finca La Luz
US,Barrel Fermented,84,25,Virginia,Virginia,,Chardonnay,Fox Meadow
US,Estate,84,18,California,Carmel Valley,Central Coast,Sauvignon Blanc,Indigené
France,L'Instant Bordeaux,84,15,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Maison Malet Roquefort
Argentina,Reserve,84,17,Mendoza Province,Mendoza,,Malbec,Cruz Alta
France,,84,14,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Cagnas
France,,84,17,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château La Fleur Beaumont
France,,84,16,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Lamothe de Haux
France,,84,13,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Lauduc
France,,84,15,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Saint-Urbain
US,Meritage,84,27,Virginia,Virginia,,Red Blend,868 Estate
France,La Croix Barton,84,13,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Schröder & Schÿler
US,Cuvee Los Gatos,84,27,California,Monterey County,Central Coast,Pinot Noir,Testarossa
Spain,Estate Bottled Rosado,84,15,Northern Spain,Navarra,,Garnacha,Ochoa
Spain,Ros de Pacs Organic Farming Cabernet-Merlot-Syrah,84,15,Catalonia,Penedès,,Rosé,Parés Baltà
Argentina,Terroir,84,13,Other,Salta,,Torrontés,Raffy
Spain,Señorio de Convey,84,17,Catalonia,Priorat,,Grenache-Carignan,Cellers Unió
Spain,Selección Especial Finca de Villatuerta,84,,Northern Spain,Navarra,,Tempranillo,Bodegas Julián Chivite
US,Rancho Santa Rosa,87,40,California,Sta. Rita Hills,Central Coast,Pinot Noir,Foley
US,Sunset,87,28,California,Paso Robles,Central Coast,Rosé,Four Lanterns
US,Estate Grown,87,30,Washington,Columbia Valley (WA),Columbia Valley,Tempranillo,Gordon Estate
Italy,Sassocheto,87,58,Tuscany,Brunello di Montalcino,,Sangiovese,Il Grappolo
US,Queen of Tides,87,25,California,Santa Barbara County,Central Coast,Chardonnay,Inconceivable
France,Châtenoy,87,22,Loire Valley,Menetou-Salon,,Rosé,Isabelle et Pierre Clément
US,Full Monty,87,15,New York,Finger Lakes,Finger Lakes,Riesling,Lakewood
France,,87,16,Burgundy,Saint-Véran,,Chardonnay,Louis Chevallier
Italy,,87,50,Tuscany,Brunello di Montalcino,,Sangiovese,Madonna Nera
France,Tradition,87,22,Loire Valley,Sancerre,,Sauvignon Blanc,Michel Vattan
US,Estate Grown Old Vine,87,34,California,Dry Creek Valley,Sonoma,Zinfandel,Mounts
Italy,Il Cucchetto,87,30,Tuscany,Maremma Toscana,,Red Blend,Pepi Lignana
France,,87,26,Loire Valley,Sancerre,,Sauvignon Blanc,Philippe Girard
France,Tradition,87,25,Loire Valley,Sancerre,,Sauvignon Blanc,Roland Tissier et Fils
Italy,Riserva,87,,Tuscany,Brunello di Montalcino,,Sangiovese,Solaria
Canada,,87,21,British Columbia,Okanagan Valley,,Chardonnay,Tinhorn Creek
Italy,,87,48,Tuscany,Brunello di Montalcino,,Sangiovese,Tornesi
Turkey,,87,15,Turkey,,,Emir,Turasan
US,,87,12,Washington,Ancient Lakes,Columbia Valley,Pinot Grigio,Vino
US,,87,14,California,California,California Other,Chardonnay,Dachshund
US,,87,16,New York,Cayuga Lake,Finger Lakes,Sauvignon Blanc,Hosmer
US,Three Vineyard Cuvée,87,20,Idaho,,,Syrah,Koenig Vineyards
Spain,,87,20,Catalonia,Priorat,,Red Blend,Les Mines
Italy,,87,62,Tuscany,Toscana,,Cabernet Sauvignon,Poggio al Lupo
US,Margaret's Vineyard,87,16,California,Paso Robles,Central Coast,Orange Muscat,Robert Hall
Italy,Riserva,87,29,Tuscany,Chianti Classico,,Red Blend,Casa Sola
US,Block 35a Estate Grown,87,33,California,Chalk Hill,Sonoma,Cabernet Sauvignon,Balverne
Turkey,,87,15,Turkey,,,Karalahna,Çamlibağ
Italy,Le Bruciate,87,30,Tuscany,Brunello di Montalcino,,Sangiovese,Canneta
US,Nighthawk Black,87,23,California,California,California Other,Red Blend,Bota Box
US,Five Blocks Wren and Temperance Hill,88,25,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lumos
Italy,,88,22,Piedmont,Barbera d'Alba,,Barbera,Manzone
US,,88,25,California,Oak Knoll District,Napa,Chardonnay,Materra Cunat Family Vineyards
Germany,Erdener Treppchen Spätlese,88,19,Mosel,,,Riesling,Max Ferd. Richter
US,Bradley Vineyard,88,23,Oregon,Elkton Oregon,Southern Oregon,Pinot Noir,Monte Ferro
US,Estate Grown,88,34,California,Dry Creek Valley,Sonoma,Grenache,Mounts
US,,88,9,California,Paso Robles,Central Coast,Meritage,Outlander
US,Reserve,88,50,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Panther Creek
US,Bilancio,88,40,California,Monterey,Central Coast,Syrah-Cabernet Sauvignon,Pianetta
Portugal,,88,21,Vinho Verde,,,Alvarinho,Quinta de Soalheiro
Portugal,,88,24,Lisboa,,,Antão Vaz,Quinta do Pinto
US,Gravel Road,88,30,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Roco
US,Rosé of,88,25,California,Sonoma County,Sonoma,Pinot Noir,Rodney Strong
US,,88,35,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Trinity Vineyards
Italy,Croere,88,35,Piedmont,Barbera d'Alba Superiore,,Barbera,Vite Colte
Italy,Suri di Mu,88,22,Piedmont,Barbera d'Alba,,Barbera,Icardi
Italy,Castelletto Riserva,88,51,Piedmont,Roero,,Nebbiolo,Malabaila
Spain,Reserva,88,37,Northern Spain,Rioja,,Tempranillo Blend,Marqués del Puerto
Italy,Printi Riserva,87,45,Piedmont,Roero,,Nebbiolo,Monchiero Carbone
Spain,Crianza,87,12,Northern Spain,Rioja,,Tempranillo,Raiza
Argentina,,87,13,Mendoza Province,Mendoza,,Malbec,Ruta 22
US,True Grit Reserve,87,20,California,Mendocino County,Mendocino/Lake Counties,Petite Sirah,Parducci
Argentina,Barrel Select,87,14,Mendoza Province,Mendoza,,Malbec,Bodega Norton
France,Rosé Dolores Brut,87,35,Champagne,Champagne,,Champagne Blend,Baron-Fuenté
France,,87,18,Southwest France,Cahors,,Malbec,Château du Caillau
US,Oregon,87,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Coeur de Terre
France,Curiosité de Bourgogne,87,20,Burgundy,Saint-Bris,,Sauvignon Blanc,Domaine Céline et Frédéric Gueguen
France,,87,25,Burgundy,Chablis,,Chardonnay,Domaine Vrignaud
Germany,Wehlener Sonnenuhr Spätlese,87,28,Mosel,,,Riesling,Dr. Pauly Bergweiler
Spain,,87,15,Northern Spain,Bierzo,,Godello,Encanto
Italy,Torre,87,26,Lombardy,Lugana,,Turbiana,Citari
Portugal,,87,24,Alentejano,,,Trincadeira,Cortes de Cima
Portugal,Condessa de Santar Extra Brut,87,,Dão,,,Portuguese Sparkling,Dão Sul
Portugal,Casa de Santar Branco,87,,Dão,,,Portuguese White,Dão Sul
US,Reserve,87,45,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rodney Strong
US,,87,28,California,Paso Robles,Central Coast,Petite Sirah,Russian Ridge
Italy,Le Volpare,87,13,Veneto,Soave,,Garganega,Tommasi
Portugal,Azul Portugal Colheita,87,,Alentejano,,,Portuguese Red,Wines & Winemakers
Portugal,Companhia das Lezírias Catapereiro Tinto,87,12,Tejo,,,Portuguese Red,Wines & Winemakers
Portugal,Abafado 5 Years Vinho Licoroso,87,11,Tejo,,,Fernão Pires,Quinta da Alorna
Portugal,Herdade dos Templarios Colheita Seleccionada,87,15,Tejo,,,Portuguese Red,Quinta do Cavalinho
Chile,Tama Vineyard Selection,87,16,Cachapoal Valley,,,Cabernet Sauvignon,Anakena
Italy,,87,19,Northeastern Italy,Venezia Giulia,,Refosco,Tenuta Luisa
US,,87,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Abbey Creek
US,Esola Vineyard,87,20,California,Shenandoah Valley (CA),Sierra Foothills,Zinfandel,Amador Foothill Winery
Chile,Gran Reserva Petit Verdot-Carmère-Cabernet Sauvignon,87,15,Maipo Valley,,,Bordeaux-style Red Blend,Mancura
Germany,SC Lahrer Kronenbühl Trocken,87,44,Baden,,,Spätburgunder,Weingut Stadt Lahr
Germany,Roter Feinherb,87,57,Rheingau,,,Riesling,Baron Knyphausen
Italy,Runcaris,87,14,Veneto,Soave Classico,,Garganega,Fattori
Portugal,Colheita Seleccionada,87,13,Alentejano,,,Portuguese White,Herdade de São Miguel
US,Panorama Vineyard,87,40,California,Arroyo Seco,Central Coast,Pinot Noir,La Crema
US,S',87,48,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Lachini
France,,87,13,Southwest France,Vin de Pays du Comté Tolosan,,Pied de Perdrix,Lionel Osmin & Cie
US,Generous Mohr-Fry,87,26,California,Lodi,Central Valley,Zinfandel,Macchia
Italy,Monte Tenda,87,17,Veneto,Soave Classico,,Garganega,Marcato
Chile,Serie Riberas Gran Reserva Ribera del Maule,87,18,San Clemente,,,Merlot,Concha y Toro
US,,87,20,California,Napa Valley,Napa,Zinfandel,Buehler
US,Estate Pinchon Vineyard Spring Break,87,30,California,Santa Cruz Mountains,Central Coast,Syrah,Burrell School Vineyards
Italy,F. Contato Riserva,87,30,Lombardy,Lugana,,Turbiana,CàMaiol
Italy,Castello,87,15,Veneto,Soave Classico,,White Blend,Cantina del Castello
Chile,,89,20,Aconcagua Valley,,,Syrah,Arboleda
US,,89,22,California,Santa Ynez Valley,Central Coast,Merlot,Brander
France,Lindenberg,89,20,Alsace,Alsace,,Riesling,Henri Schoenheitz
US,McFadden Farm Made From Organically Grown Grapes,89,22,California,Mendocino,Mendocino/Lake Counties,Pinot Gris,Horse & Plow
Turkey,Galî,89,40,Aegean,,,Merlot-Cabernet Franc,Kavur
US,Gently Dry,89,14,New York,Finger Lakes,Finger Lakes,Vignoles,Keuka Lake Vineyards
US,Cali,89,18,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Mannina Cellars
Italy,,89,45,Piedmont,Barbaresco,,Nebbiolo,Marchesi di Barolo
US,Trutina,89,29,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Dunham
US,Mother Clone,89,17,California,Dry Creek Valley,Sonoma,Zinfandel,Pedroncelli
US,Collaboration Series II Ciel du Cheval Vineyard,89,58,Washington,Red Mountain,Columbia Valley,Syrah,Force Majeure
Chile,Amplus,89,24,Leyda Valley,,,Chardonnay,Santa Ema
US,Brut,89,29,New York,North Fork of Long Island,Long Island,Champagne Blend,Sparkling Pointe
US,Estate,89,35,California,Oak Knoll District,Napa,Chardonnay,Trefethen
US,Reserve,89,85,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Swiftwater Cellars
US,Reserve,89,24,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Waterbrook
Italy,Corleto,89,19,Central Italy,Lambrusco Grasparossa di Castelvetro,,Lambrusco Grasparossa,Villa di Corlo
US,Estate,88,60,California,Oakville,Napa,Cabernet Sauvignon,Ghost Block
Portugal,Periquita Reserva,88,16,Península de Setúbal,,,Portuguese Red,José Maria da Fonseca
France,H Vieilles Vignes,88,,Alsace,Alsace,,Pinot Auxerrois,Josmeyer
France,,88,,Alsace,Alsace,,Pinot Blanc,Josmeyer
US,Block 21,88,30,California,Napa Valley,Napa,Sauvignon Blanc,Kelleher
US,Semi-Dry,88,14,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
Canada,,88,25,British Columbia,Okanagan Valley,,Pinot Noir,Meyer Family Vineyards
France,Douce Vie Les Muraires,88,15,Provence,Côtes de Provence,,Rosé,Bernard Magrez
Italy,,88,37,Piedmont,Barbaresco,,Nebbiolo,Bosio
Italy,,88,45,Piedmont,Barbaresco,,Nebbiolo,Cascina Morassino
France,Grande Cuvée,88,14,Bordeaux,Blaye Côtes de Bordeaux,,Sauvignon Blanc,Château Bertinerie
France,,88,12,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château La Maroutine
France,,88,12,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château La Mothe du Barry
France,Château Loustalet,86,16,Southwest France,Buzet,,Bordeaux-style White Blend,Vignerons de Buzet
Chile,Duette Premium,86,18,Casablanca Valley,,,Pinot Noir,Indomita
US,Organic,86,15,California,Redwood Valley,Mendocino/Lake Counties,Petite Sirah,Frey
Germany,Ursprung Feinherb,86,16,Mosel,,,Elbling,Frieden-Berg
US,,86,11,California,California,California Other,Sauvignon Blanc,Line 39
France,La Croix des Vignes,86,,Southwest France,Cahors,,Malbec,Château Ponzac
Italy,Nutaru Rosé Metodo Classico,86,18,Italy Other,Vino Spumante,,Frappato,Avide
Italy,Promemoria,86,40,Tuscany,Toscana,,Red Blend,Colle Spinello
Spain,,86,10,Central Spain,Vino de la Tierra de Castilla,,Verdejo,Paso a Paso
France,L'Enclos des Graves,86,20,Southwest France,Cahors,,Malbec-Merlot,Château Fantou
France,Rosé de Pressée,86,13,Southwest France,Côtes de Gascogne,,Rosé,Domaine du Tariquet
France,Esquisse,86,15,Southwest France,Gaillac,,Red Blend,Domaine Rotier
France,No. 8 Merlot-Syrah,86,11,Southwest France,Côtes de Gascogne,,Syrah-Merlot,Domaine Uby
US,Cotes-du-Rôbles,86,23,California,Paso Robles,Central Coast,Rhône-style Red Blend,Eberle
